regime,days,avg_headlines,avg_next_return,volatility,up_day_rate,avg_vix,avg_fed_funds,avg_10y_yield
2008-2009 financial crisis,196,1.2959183673469388,-0.0007037040922014908,0.03247463697837086,0.5408163265306123,33.01091836734694,1.0358163265306122,3.4737244897959183
2020 COVID shock,249,6.0843373493975905,0.0007518660591527824,0.021846064215605823,0.5662650602409639,29.23453815261044,0.3698795180722892,0.8918072289156627
2022-2023 rate-hike cycle,495,14.27070707070707,5.266578045956286e-05,0.012289603828300067,0.4868686868686869,21.303111111111114,3.3445656565656563,3.4598989898989903
Other,2566,3.6200311769290723,0.0005890689231042472,0.009664999937268812,0.5518316445830086,16.86016367887763,0.6642361652377241,2.2928448947778644
