accuracy,balanced_accuracy,precision,recall,f1,auc,brier,threshold,model,feature_set,split
0.5691382765531062,0.5,0.5691382765531062,1.0,0.7254150702426565,0.5,0.24563433827798364,0.5,Baseline_majority,-,val
0.45090180360721444,0.44019816573861775,0.5176056338028169,0.5176056338028169,0.5176056338028169,0.44019816573861775,0.5490981963927856,0.5,Baseline_momentum,-,val
0.49534450651769085,0.5,0.49534450651769085,1.0,0.6625155666251556,0.5,0.2528337304765608,0.5,Baseline_majority,-,test
0.49162011173184356,0.49159337458036234,0.4868913857677903,0.48872180451127817,0.4878048780487805,0.49159337458036234,0.5083798882681564,0.5,Baseline_momentum,-,test
0.5691382765531062,0.5011300360301343,0.5696969696969697,0.9929577464788732,0.72400513478819,0.469734687192925,0.2460020962820061,0.53,Logit,dict,val
0.4934823091247672,0.4981203007518797,0.4944029850746269,0.9962406015037594,0.6608478802992519,0.48256249479788027,0.25311018115443346,0.53,Logit,dict,test
0.5731462925851704,0.5046511627906977,0.5714285714285714,1.0,0.7272727272727273,0.4497870946609892,0.2465609802652956,0.52,Logit,general,val
0.49534450651769085,0.5,0.49534450651769085,1.0,0.6625155666251556,0.5436839330799323,0.252037240022715,0.52,Logit,general,test
0.43687374749499,0.5035866360956437,0.6666666666666666,0.02112676056338028,0.040955631399317405,0.48648869963969865,0.24585360748542073,0.57,Logit,vader,val
0.5139664804469274,0.5095372194323446,0.6923076923076923,0.03383458646616541,0.06451612903225806,0.49679549427073216,0.2538037991809681,0.57,Logit,vader,test
0.4589178356713427,0.502612184736325,0.5760869565217391,0.18661971830985916,0.28191489361702127,0.5274647887323944,0.2455516162517542,0.55,Logit,finbert,val
0.4972067039106145,0.4985850234442194,0.4942528735632184,0.6466165413533834,0.5602605863192183,0.5217795411036816,0.25294318168411356,0.55,Logit,finbert,test
0.5711422845691383,0.510800851621356,0.5747863247863247,0.9471830985915493,0.7154255319148937,0.4921716344579103,0.24568065235495926,0.54,Logit,all,val
0.4934823091247672,0.49808561995394385,0.4943820224719101,0.9924812030075187,0.66,0.50937768776184,0.2543191731940042,0.54,Logit,all,test
0.49498997995991983,0.5105715689485752,0.5824742268041238,0.397887323943662,0.47280334728033474,0.5017851293809368,0.24567086048739797,0.55,XGB,dict,val
0.4860335195530726,0.4841508753433399,0.46875,0.2819548872180451,0.352112676056338,0.4731154454401687,0.25290905803019365,0.55,XGB,dict,test
0.5671342685370742,0.5253603013429413,0.5845771144278606,0.8274647887323944,0.685131195335277,0.5287913527677695,0.24535756474246573,0.54,XGB,general,val
0.4692737430167598,0.47087506589351613,0.47368421052631576,0.6428571428571429,0.5454545454545454,0.468093665899065,0.2530521491216251,0.54,XGB,general,test
0.5551102204408818,0.5080167048804455,0.5738095238095238,0.8485915492957746,0.6846590909090909,0.5014821487061907,0.24565994576279898,0.54,XGB,vader,val
0.5102420856610801,0.5139971700468884,0.5030927835051546,0.9172932330827067,0.6498002663115846,0.5071026274172517,0.252677086898504,0.54,XGB,vader,test
0.5691382765531062,0.5,0.5691382765531062,1.0,0.7254150702426565,0.49079593842122504,0.24607286626652142,0.5,XGB,finbert,val
0.49534450651769085,0.5,0.49534450651769085,1.0,0.6625155666251556,0.49345226534972114,0.25337218991250204,0.5,XGB,finbert,test
0.5691382765531062,0.5,0.5691382765531062,1.0,0.7254150702426565,0.485244022273174,0.2459810382193025,0.5,XGB,all,val
0.49534450651769085,0.5,0.49534450651769085,1.0,0.6625155666251556,0.5220153705296451,0.25381616116281197,0.5,XGB,all,test
