split,model_name,feature_set,threshold,transaction_cost,strategy_n_days,strategy_cumulative_return,strategy_annualized_return,strategy_annualized_volatility,strategy_sharpe,strategy_max_drawdown,strategy_avg_daily_return,buy_hold_n_days,buy_hold_cumulative_return,buy_hold_annualized_return,buy_hold_annualized_volatility,buy_hold_sharpe,buy_hold_max_drawdown,buy_hold_avg_daily_return,exposure,trades,win_rate_when_in_market
oos_expanding,Logit,all,0.5,0.0001,3400,4.205916442328994,0.13006932406853577,0.19165190747710295,0.7342109392455375,-0.33924959024260537,0.0005583846309403277,3400,4.659240059560361,0.13708429279687295,0.1961187221901233,0.7534954058029174,-0.3392495902426055,0.0005864069688976054,0.9732352941176471,75,0.543064369900272
oos_expanding,XGB,all,0.5,0.0001,3400,5.11060915858412,0.1435699481537085,0.1837931437446102,0.8221597253685842,-0.33924959024260526,0.0005996322245464184,3400,4.659240059560361,0.13708429279687295,0.1961187221901233,0.7534954058029174,-0.3392495902426055,0.0005864069688976054,0.951764705882353,175,0.5451174289245982
test,Logit,all,0.54,0.0001,537,0.07153909577675899,0.032956365802905285,0.18978822411865204,0.2656507441042957,-0.25243354424320386,0.0002000689799974315,537,0.06971454542423539,0.032130608500260394,0.19009307820152527,0.2613216815023813,-0.2537811304380434,0.00019712477316502475,0.994413407821229,7,0.4943820224719101
test,Logit,dict,0.53,0.0001,537,0.04384304284746432,0.020340230393985914,0.18936194397046852,0.2009280550429999,-0.27175588181204124,0.00015098463135376094,537,0.06971454542423539,0.032130608500260394,0.19009307820152527,0.2613216815023813,-0.2537811304380434,0.00019712477316502475,0.9981378026070763,3,0.4944029850746269
test,Logit,finbert,0.55,0.0001,537,0.13122147159302755,0.059567189201516824,0.15351628538792497,0.45348666161893103,-0.15195916733389325,0.00027626026890757607,537,0.06971454542423539,0.032130608500260394,0.19009307820152527,0.2613216815023813,-0.2537811304380434,0.00019712477316502475,0.6480446927374302,134,0.4942528735632184
test,Logit,general,0.52,0.0001,537,0.06960750657612014,0.032082141519022445,0.19009329501946698,0.2610745184789513,-0.25378113043804384,0.00019693855342573242,537,0.06971454542423539,0.032130608500260394,0.19009307820152527,0.2613216815023813,-0.2537811304380434,0.00019712477316502475,1.0,1,0.49534450651769085
test,Logit,vader,0.57,0.0001,537,0.06984967513516116,0.03219179129367822,0.041755641171977005,0.7790892360347452,-0.01536369269298754,0.00012909274040006553,537,0.06971454542423539,0.032130608500260394,0.19009307820152527,0.2613216815023813,-0.2537811304380434,0.00019712477316502475,0.024208566108007448,26,0.6923076923076923
test,XGB,all,0.5,0.0001,537,0.06960750657612014,0.032082141519022445,0.19009329501946698,0.2610745184789513,-0.25378113043804384,0.00019693855342573242,537,0.06971454542423539,0.032130608500260394,0.19009307820152527,0.2613216815023813,-0.2537811304380434,0.00019712477316502475,1.0,1,0.49534450651769085
test,XGB,dict,0.55,0.0001,537,-0.0442137455506707,-0.020997434376834545,0.1091391166010891,-0.13984456435098258,-0.13461492232748062,-6.0565524661628555e-05,537,0.06971454542423539,0.032130608500260394,0.19009307820152527,0.2613216815023813,-0.2537811304380434,0.00019712477316502475,0.297951582867784,212,0.46875
test,XGB,finbert,0.5,0.0001,537,0.06960750657612014,0.032082141519022445,0.19009329501946698,0.2610745184789513,-0.25378113043804384,0.00019693855342573242,537,0.06971454542423539,0.032130608500260394,0.19009307820152527,0.2613216815023813,-0.2537811304380434,0.00019712477316502475,1.0,1,0.49534450651769085
