regime,days,avg_finance_sentiment,positive_headline_share,negative_headline_share,avg_next_return,volatility,up_day_rate,avg_vix
2008-2009 financial crisis,196,-0.008198410621880009,0.11904761904761904,0.17091836734693877,-0.0007037040922014959,0.03247463697837083,0.5408163265306123,33.01091836734694
2020 COVID shock,249,0.007197683974281298,0.1750922386863209,0.11915976741189356,0.0007518660591527784,0.021846064215605795,0.5662650602409639,29.23453815261044
2022-2023 rate-hike cycle,495,-0.002953522787989729,0.1945622730742559,0.19713308500882187,5.266578045956524e-05,0.01228960382830003,0.4868686868686869,21.303111111111114
Other,2566,0.005221845759553997,0.12434682274880797,0.08456048423455677,0.0005890689231042421,0.009664999937268779,0.5518316445830086,16.86016367887763
