split,model_name,feature_set,regime,n,up_day_rate,accuracy,balanced_accuracy,precision,recall,f1,auc,brier,avg_next_return,volatility,threshold
oos_expanding,Logit,all,2008-2009 financial crisis,90,0.5888888888888889,0.6222222222222222,0.5446200917899031,0.611764705882353,0.9811320754716981,0.7536231884057971,0.6374298827129016,0.23400337968454749,0.0029883180834427378,0.031003451398356075,0.5
oos_expanding,Logit,all,2020 COVID shock,249,0.5662650602409639,0.5662650602409639,0.5,0.5662650602409639,1.0,0.7230769230769231,0.5036117677961649,0.24557664554193206,0.0007518660591527784,0.021846064215605802,0.5
oos_expanding,Logit,all,2022-2023 rate-hike cycle,495,0.4868686868686869,0.4868686868686869,0.5,0.4868686868686869,1.0,0.654891304347826,0.4210638089325971,0.25520909376303497,5.266578045956521e-05,0.012289603828300038,0.5
oos_expanding,Logit,all,Other,2566,0.5518316445830086,0.544037412314887,0.4956331368214198,0.5495967741935484,0.9625706214689266,0.6996919917864476,0.5050386882829772,0.24792897332554764,0.0005890689231042421,0.009664999937268779,0.5
oos_expanding,XGB,all,2008-2009 financial crisis,90,0.5888888888888889,0.5888888888888889,0.5734319224885263,0.6481481481481481,0.660377358490566,0.6542056074766355,0.6002039775624681,0.24327890319509252,0.0029883180834427378,0.031003451398356075,0.5
oos_expanding,XGB,all,2020 COVID shock,249,0.5662650602409639,0.5662650602409639,0.5,0.5662650602409639,1.0,0.7230769230769231,0.4820068295245601,0.24621991710613705,0.0007518660591527784,0.021846064215605802,0.5
oos_expanding,XGB,all,2022-2023 rate-hike cycle,495,0.4868686868686869,0.4868686868686869,0.5,0.4868686868686869,1.0,0.654891304347826,0.4736498186689319,0.25359693588054855,5.266578045956521e-05,0.012289603828300038,0.5
oos_expanding,XGB,all,Other,2566,0.5518316445830086,0.5479345284489477,0.5012877671333825,0.5525020508613617,0.951271186440678,0.6990140114167099,0.5007780643576516,0.2481961787977574,0.0005890689231042421,0.009664999937268779,0.5
test,Logit,all,2022-2023 rate-hike cycle,495,0.4868686868686869,0.48484848484848486,0.4978191263436469,0.48577235772357724,0.991701244813278,0.6521145975443383,0.4991178488581044,0.2554360563751622,5.266578045956521e-05,0.012289603828300038,0.54
test,Logit,all,Other,42,0.5952380952380952,0.5952380952380952,0.5,0.5952380952380952,1.0,0.746268656716418,0.6070588235294118,0.2411559071303562,0.001899677187193655,0.007184547553911428,0.54
test,Logit,dict,2022-2023 rate-hike cycle,495,0.4868686868686869,0.48484848484848486,0.4979253112033195,0.48582995951417,0.995850622406639,0.6530612244897959,0.4847583886039142,0.253951570253576,5.266578045956521e-05,0.012289603828300038,0.53
test,Logit,dict,Other,42,0.5952380952380952,0.5952380952380952,0.5,0.5952380952380952,1.0,0.746268656716418,0.5035294117647059,0.24319380962882428,0.001899677187193655,0.007184547553911428,0.53
test,Logit,finbert,2022-2023 rate-hike cycle,495,0.4868686868686869,0.501010101010101,0.5053909236449179,0.4909090909090909,0.6721991701244814,0.5674255691768827,0.5263828535955827,0.2537983371095334,5.266578045956521e-05,0.012289603828300038,0.55
test,Logit,finbert,Other,42,0.5952380952380952,0.4523809523809524,0.4647058823529412,0.5555555555555556,0.4,0.46511627906976744,0.5529411764705883,0.24286456417023686,0.001899677187193655,0.007184547553911428,0.55
test,Logit,general,2022-2023 rate-hike cycle,495,0.4868686868686869,0.4868686868686869,0.5,0.4868686868686869,1.0,0.654891304347826,0.5470317247688437,0.2527775354024027,5.266578045956521e-05,0.012289603828300038,0.52
test,Logit,general,Other,42,0.5952380952380952,0.5952380952380952,0.5,0.5952380952380952,1.0,0.746268656716418,0.49411764705882344,0.2433123301906811,0.001899677187193655,0.007184547553911428,0.52
test,Logit,vader,2022-2023 rate-hike cycle,495,0.4868686868686869,0.5252525252525253,0.5126605024994283,0.8,0.03319502074688797,0.06374501992031872,0.5075309569706277,0.2546518656497815,5.266578045956521e-05,0.012289603828300038,0.57
test,Logit,vader,Other,42,0.5952380952380952,0.38095238095238093,0.4611764705882353,0.3333333333333333,0.04,0.07142857142857142,0.32,0.24380873008423895,0.001899677187193655,0.007184547553911428,0.57
test,XGB,all,2022-2023 rate-hike cycle,495,0.4868686868686869,0.4868686868686869,0.5,0.4868686868686869,1.0,0.654891304347826,0.5132322671284347,0.2548310073420315,5.266578045956521e-05,0.012289603828300038,0.5
test,XGB,all,Other,42,0.5952380952380952,0.5952380952380952,0.5,0.5952380952380952,1.0,0.746268656716418,0.4894117647058824,0.24185547405058141,0.001899677187193655,0.007184547553911428,0.5
test,XGB,dict,2022-2023 rate-hike cycle,495,0.4868686868686869,0.48282828282828283,0.4774806416832751,0.4489795918367347,0.27385892116182575,0.3402061855670103,0.460303198614696,0.25394688516742725,5.266578045956521e-05,0.012289603828300038,0.55
test,XGB,dict,Other,42,0.5952380952380952,0.5238095238095238,0.5623529411764705,0.6923076923076923,0.36,0.47368421052631576,0.6305882352941177,0.24067752391279762,0.001899677187193655,0.007184547553911428,0.55
test,XGB,finbert,2022-2023 rate-hike cycle,495,0.4868686868686869,0.4868686868686869,0.5,0.4868686868686869,1.0,0.654891304347826,0.4912438331100728,0.2542682738398231,5.266578045956521e-05,0.012289603828300038,0.5
test,XGB,finbert,Other,42,0.5952380952380952,0.5952380952380952,0.5,0.5952380952380952,1.0,0.746268656716418,0.4776470588235294,0.2428112007690757,0.001899677187193655,0.007184547553911428,0.5
test,XGB,general,2022-2023 rate-hike cycle,495,0.4868686868686869,0.45252525252525255,0.4571911654196752,0.45535714285714285,0.6348547717842323,0.5303292894280762,0.4613813833436796,0.2539954777431426,5.266578045956521e-05,0.012289603828300038,0.54
test,XGB,general,Other,42,0.5952380952380952,0.6666666666666666,0.6541176470588235,0.72,0.72,0.72,0.6,0.241934347510883,0.001899677187193655,0.007184547553911428,0.54
test,XGB,vader,2022-2023 rate-hike cycle,495,0.4868686868686869,0.501010101010101,0.5114434606462573,0.49324324324324326,0.9087136929460581,0.6394160583941606,0.4954422191002058,0.2536207886125184,5.266578045956521e-05,0.012289603828300038,0.54
test,XGB,vader,Other,42,0.5952380952380952,0.6190476190476191,0.5294117647058824,0.6097560975609756,1.0,0.7575757575757576,0.6258823529411764,0.24155488812619189,0.001899677187193655,0.007184547553911428,0.54
val,Logit,all,2020 COVID shock,249,0.5662650602409639,0.570281124497992,0.5111308116627266,0.5720338983050848,0.9574468085106383,0.7161803713527851,0.5036117677961649,0.24557664554193206,0.0007518660591527784,0.021846064215605802,0.54
val,Logit,all,Other,250,0.572,0.572,0.5105875432978236,0.5775862068965517,0.9370629370629371,0.7146666666666667,0.48382458662832495,0.2457842431407343,0.0010718564071566775,0.008229211468995887,0.54
val,Logit,dict,2020 COVID shock,249,0.5662650602409639,0.5622489959839357,0.49753743104806936,0.5650406504065041,0.9858156028368794,0.7183462532299741,0.48200682952456,0.24622874441330408,0.0007518660591527784,0.021846064215605802,0.53
val,Logit,dict,Other,250,0.572,0.576,0.5046728971962616,0.5742971887550201,1.0,0.7295918367346939,0.4588588981112346,0.24577635474323328,0.0010718564071566775,0.008229211468995887,0.53
val,Logit,finbert,2020 COVID shock,249,0.5662650602409639,0.46586345381526106,0.5066981875492513,0.5833333333333334,0.19858156028368795,0.2962962962962963,0.5049251379038613,0.24589763349358149,0.0007518660591527784,0.021846064215605802,0.55
val,Logit,finbert,Other,250,0.572,0.452,0.4986275406836154,0.5681818181818182,0.17482517482517482,0.26737967914438504,0.5528396836808052,0.24520698307889421,0.0010718564071566775,0.008229211468995887,0.55
val,Logit,general,2020 COVID shock,249,0.5662650602409639,0.570281124497992,0.5046296296296297,0.5685483870967742,1.0,0.7249357326478149,0.4512083004990807,0.24692230475122878,0.0007518660591527784,0.021846064215605802,0.52
val,Logit,general,Other,250,0.572,0.576,0.5046728971962616,0.5742971887550201,1.0,0.7295918367346939,0.4481733220050977,0.24620110107730622,0.0010718564071566775,0.008229211468995887,0.52
val,Logit,vader,2020 COVID shock,249,0.5662650602409639,0.4538152610441767,0.5166469661150512,0.8571428571428571,0.0425531914893617,0.08108108108108109,0.5059758339900183,0.2456025298786736,0.0007518660591527784,0.021846064215605802,0.57
val,Logit,vader,Other,250,0.572,0.42,0.49065420560747663,0.0,0.0,0.0,0.46532906345990455,0.24610368078174094,0.0010718564071566775,0.008229211468995887,0.57
val,XGB,all,2020 COVID shock,249,0.5662650602409639,0.5662650602409639,0.5,0.5662650602409639,1.0,0.7230769230769231,0.4820068295245601,0.24621991710613705,0.0007518660591527784,0.021846064215605802,0.5
val,XGB,all,Other,250,0.572,0.572,0.5,0.572,1.0,0.727735368956743,0.49467355074831715,0.2457431148480153,0.0010718564071566775,0.008229211468995887,0.5
