split,model_name,feature_set,regime,threshold,transaction_cost,strategy_n_days,strategy_cumulative_return,strategy_annualized_return,strategy_annualized_volatility,strategy_sharpe,strategy_max_drawdown,strategy_avg_daily_return,buy_hold_n_days,buy_hold_cumulative_return,buy_hold_annualized_return,buy_hold_annualized_volatility,buy_hold_sharpe,buy_hold_max_drawdown,buy_hold_avg_daily_return,exposure,trades,win_rate_when_in_market
test,Logit,dict,2022-2023 rate-hike cycle,0.53,0.0001,495,-0.03511628472149764,-0.018034224018543266,0.1943088729686158,0.003385850611085765,-0.27175588181204124,2.6107175249213252e-06,495,-0.011201777940844981,-0.005718491011084126,0.19509141264713542,0.06802850261695159,-0.2537811304380434,5.266578045956521e-05,0.997979797979798,3,0.48582995951417
test,Logit,dict,Other,0.53,0.0001,42,0.08172394090287294,0.602133310840707,0.11410484540765062,4.19016957136812,-0.01669666573997597,0.001897296234812702,42,0.08183299844185976,0.6031027010183538,0.11405115666100236,4.197402860154332,-0.01669666573997608,0.001899677187193655,1.0,1,0.5952380952380952
test,Logit,finbert,2022-2023 rate-hike cycle,0.55,0.0001,495,0.1376318942127508,0.06784934729525993,0.15955092824365588,0.49104003267153096,-0.15195916733389325,0.0003108964008632455,495,-0.011201777940844981,-0.005718491011084126,0.19509141264713542,0.06802850261695159,-0.2537811304380434,5.266578045956521e-05,0.6666666666666666,119,0.4909090909090909
test,Logit,finbert,Other,0.55,0.0001,42,-0.005735123066163084,-0.03392112040918671,0.03663334453387407,-0.9240686203883796,-0.008610146239801164,-0.0001343322386651952,42,0.08183299844185976,0.6031027010183538,0.11405115666100236,4.197402860154332,-0.01669666573997608,0.001899677187193655,0.42857142857142855,16,0.5555555555555556
test,Logit,general,2022-2023 rate-hike cycle,0.52,0.0001,495,-0.011300720058777691,-0.0057691421129395515,0.19509160409682502,0.06776748618223345,-0.25378113043804384,5.246376025754503e-05,495,-0.011201777940844981,-0.005718491011084126,0.19509141264713542,0.06802850261695159,-0.2537811304380434,5.266578045956521e-05,1.0,1,0.4868686868686869
test,Logit,general,Other,0.52,0.0001,42,0.08172394090287294,0.602133310840707,0.11410484540765062,4.19016957136812,-0.01669666573997597,0.001897296234812702,42,0.08183299844185976,0.6031027010183538,0.11405115666100236,4.197402860154332,-0.01669666573997608,0.001899677187193655,1.0,1,0.5952380952380952
test,Logit,vader,2022-2023 rate-hike cycle,0.57,0.0001,495,0.07837428807068947,0.039160587855058715,0.043047206622094804,0.9132619668140852,-0.01536369269298754,0.00015600546264105797,495,-0.011201777940844981,-0.005718491011084126,0.19509141264713542,0.06802850261695159,-0.2537811304380434,5.266578045956521e-05,0.020202020202020204,20,0.8
test,Logit,vader,Other,0.57,0.0001,42,-0.007905059523237945,-0.04650282899649927,0.020933224910435498,-2.2643149671268157,-0.001777566928998886,-0.0001880929145830595,42,0.08183299844185976,0.6031027010183538,0.11405115666100236,4.197402860154332,-0.01669666573997608,0.001899677187193655,0.07142857142857142,6,0.3333333333333333
test,XGB,all,2022-2023 rate-hike cycle,0.5,0.0001,495,-0.011300720058777691,-0.0057691421129395515,0.19509160409682502,0.06776748618223345,-0.25378113043804384,5.246376025754503e-05,495,-0.011201777940844981,-0.005718491011084126,0.19509141264713542,0.06802850261695159,-0.2537811304380434,5.266578045956521e-05,1.0,1,0.4868686868686869
test,XGB,all,Other,0.5,0.0001,42,0.08172394090287294,0.602133310840707,0.11410484540765062,4.19016957136812,-0.01669666573997597,0.001897296234812702,42,0.08183299844185976,0.6031027010183538,0.11405115666100236,4.197402860154332,-0.01669666573997608,0.001899677187193655,1.0,1,0.5952380952380952
