finance_sentiment_tercile,days,avg_finance_sentiment,avg_next_return,median_next_return,up_day_rate,avg_vix
low,1169,-0.030096320336081152,0.0003313209243488605,0.0005936223891387,0.5260906757912746,22.92962360992301
middle,1168,0.0,0.0005363803425092714,0.0008800058079131,0.5616438356164384,16.94498287671233
high,1169,0.0404663778781412,0.0004902503541966396,0.0005969336920788,0.5414884516680923,17.930958083832337
