split,model_name,feature_set,threshold,transaction_cost,regime,strategy_n_days,strategy_cumulative_return,strategy_annualized_return,strategy_annualized_volatility,strategy_sharpe,strategy_max_drawdown,strategy_avg_daily_return,buy_hold_n_days,buy_hold_cumulative_return,buy_hold_annualized_return,buy_hold_annualized_volatility,buy_hold_sharpe,buy_hold_max_drawdown,buy_hold_avg_daily_return,exposure,trades
oos_expanding,Logit,all,0.5,0.0001,2008-2009 financial crisis,90,-0.010065232073693142,-0.027928036969110948,0.01658274838111788,-1.6996844975631107,-0.010065232073693142,-0.00011184698551736442,90,0.2535377488556789,0.8827157986382932,0.4894226480800298,1.5386622584421783,-0.25633979312543287,0.0029883180834427378,0.011111111111111112,2
oos_expanding,Logit,all,0.5,0.0001,2020 COVID shock,249,0.13550856785413568,0.1372484674618102,0.32579659509275083,0.5593531185008787,-0.2992861714597277,0.0007231561169130881,249,0.13591785993830996,0.13766332637634981,0.3460984411168588,0.5474461147385703,-0.33924959024260537,0.0007518660591527784,0.9317269076305221,28
oos_expanding,Logit,all,0.5,0.0001,2022-2023 rate-hike cycle,495,-0.03832266952937291,-0.019696821197046965,0.17884844775365075,-0.02171258295905348,-0.2483533280458572,-1.5409768884718587e-05,495,-0.011201777940844981,-0.005718491011084126,0.19489425098722052,0.06809732256638336,-0.2537811304380434,5.266578045956521e-05,0.6848484848484848,96
oos_expanding,Logit,all,0.5,0.0001,Other,2566,0.8015381033460058,0.05951243938870032,0.11971519033417341,0.5428962377013103,-0.21830327454704668,0.00025790843820682147,2566,3.0194450436043576,0.1463930302502916,0.153397218454763,0.9677187768958517,-0.19778213767806785,0.0005890689231042421,0.6441932969602494,789
oos_expanding,XGB,all,0.5,0.0001,2008-2009 financial crisis,90,0.041154748163617416,0.11954819823516227,0.22236302588047455,0.6203864962856017,-0.08554148090427749,0.0005474246767041754,90,0.2535377488556789,0.8827157986382932,0.4894226480800298,1.5386622584421783,-0.25633979312543287,0.0029883180834427378,0.35555555555555557,40
oos_expanding,XGB,all,0.5,0.0001,2020 COVID shock,249,0.08072330336025124,0.08173458508525822,0.3307414504690271,0.40446508977170326,-0.34949496680371506,0.0005308467081554698,249,0.13591785993830996,0.13766332637634981,0.3460984411168588,0.5474461147385703,-0.33924959024260537,0.0007518660591527784,0.8634538152610441,62
oos_expanding,XGB,all,0.5,0.0001,2022-2023 rate-hike cycle,495,-0.07402711213425506,-0.038397722276332535,0.14456330689295546,-0.1985755313554077,-0.20359629411564983,-0.00011391561698715677,495,-0.011201777940844981,-0.005718491011084126,0.19489425098722052,0.06809732256638336,-0.2537811304380434,5.266578045956521e-05,0.4404040404040404,201
oos_expanding,XGB,all,0.5,0.0001,Other,2566,1.2433147773530435,0.08257997668203809,0.12668323671262277,0.6899179496336169,-0.21159855891851242,0.0003468295195465192,2566,3.0194450436043576,0.1463930302502916,0.153397218454763,0.9677187768958517,-0.19778213767806785,0.0005890689231042421,0.5915822291504287,1044
test,Logit,all,0.5,0.0001,2022-2023 rate-hike cycle,495,0.0012272031168762965,0.0006245698738929217,0.19443981566638505,0.10050754066091361,-0.24432570464805892,7.755026856821326e-05,495,-0.011201777940844981,-0.005718491011084126,0.19489425098722052,0.06809732256638336,-0.2537811304380434,5.266578045956521e-05,0.9939393939393939,5
test,Logit,all,0.5,0.0001,Other,42,0.08183299844185976,0.6031027010183538,0.11268522527104435,4.248282328240709,-0.01669666573997608,0.001899677187193655,42,0.08183299844185976,0.6031027010183538,0.11268522527104435,4.248282328240709,-0.01669666573997608,0.001899677187193655,1.0,0
test,Logit,dict,0.5,0.0001,2022-2023 rate-hike cycle,495,-0.07623408079594529,-0.03956518498606887,0.18891468120484656,-0.11911643035485965,-0.27632263698354953,-8.929699391566514e-05,495,-0.011201777940844981,-0.005718491011084126,0.19489425098722052,0.06809732256638336,-0.2537811304380434,5.266578045956521e-05,0.9232323232323232,57
test,Logit,dict,0.5,0.0001,Other,42,0.09136580657265925,0.6897484512049039,0.11036526987961111,4.813141868989497,-0.016696665739975858,0.002107951195793181,42,0.08183299844185976,0.6031027010183538,0.11268522527104435,4.248282328240709,-0.01669666573997608,0.001899677187193655,0.8809523809523809,8
test,Logit,finbert,0.5,0.0001,2022-2023 rate-hike cycle,495,-0.13832270508620914,-0.07298972300888262,0.18673596011670912,-0.31238211752337885,-0.2911258181298235,-0.00023148005809134448,495,-0.011201777940844981,-0.005718491011084126,0.19489425098722052,0.06809732256638336,-0.2537811304380434,5.266578045956521e-05,0.907070707070707,49
test,Logit,finbert,0.5,0.0001,Other,42,0.07924876110110235,0.5802629309096428,0.11278052322297619,4.117314158571913,-0.016696665739975858,0.0018426700201472548,42,0.08183299844185976,0.6031027010183538,0.11268522527104435,4.248282328240709,-0.01669666573997608,0.001899677187193655,0.9761904761904762,2
test,Logit,general,0.5,0.0001,2022-2023 rate-hike cycle,495,-0.01945063979406292,-0.009949881777631675,0.19480984858096884,0.04614973649881371,-0.25378113043804384,3.5676282457879e-05,495,-0.011201777940844981,-0.005718491011084126,0.19489425098722052,0.06809732256638336,-0.2537811304380434,5.266578045956521e-05,0.997979797979798,3
test,Logit,general,0.5,0.0001,Other,42,0.08183299844185976,0.6031027010183538,0.11268522527104435,4.248282328240709,-0.01669666573997608,0.001899677187193655,42,0.08183299844185976,0.6031027010183538,0.11268522527104435,4.248282328240709,-0.01669666573997608,0.001899677187193655,1.0,0
test,Logit,vader,0.5,0.0001,2022-2023 rate-hike cycle,495,-0.011300720058777691,-0.0057691421129395515,0.19489444224342883,0.06783604207855297,-0.25378113043804384,5.246376025754503e-05,495,-0.011201777940844981,-0.005718491011084126,0.19489425098722052,0.06809732256638336,-0.2537811304380434,5.266578045956521e-05,1.0,1
test,Logit,vader,0.5,0.0001,Other,42,0.07924876110110235,0.5802629309096428,0.11278052322297619,4.117314158571913,-0.016696665739975858,0.0018426700201472548,42,0.08183299844185976,0.6031027010183538,0.11268522527104435,4.248282328240709,-0.01669666573997608,0.001899677187193655,0.9761904761904762,2
test,XGB,all,0.5,0.0001,2022-2023 rate-hike cycle,495,-0.024648719008199316,-0.012625303098161345,0.171948907669622,0.012271401338965178,-0.22943174687166912,8.373230380200791e-06,495,-0.011201777940844981,-0.005718491011084126,0.19489425098722052,0.06809732256638336,-0.2537811304380434,5.266578045956521e-05,0.8383838383838383,125
test,XGB,all,0.5,0.0001,Other,42,0.07172840544346704,0.5153342845794298,0.11252786750989942,3.752809403673848,-0.016696665739975858,0.0016757763466925214,42,0.08183299844185976,0.6031027010183538,0.11268522527104435,4.248282328240709,-0.01669666573997608,0.001899677187193655,0.9285714285714286,6
test,XGB,dict,0.5,0.0001,2022-2023 rate-hike cycle,495,0.01678500308351616,0.008510177716444467,0.19335856322168696,0.14055354436087583,-0.23506010172022918,0.0001078461563227563,495,-0.011201777940844981,-0.005718491011084126,0.19489425098722052,0.06809732256638336,-0.2537811304380434,5.266578045956521e-05,0.9959595959595959,5
test,XGB,dict,0.5,0.0001,Other,42,0.08555213558036634,0.636455184562877,0.1112136912644939,4.488518454057213,-0.016696665739975858,0.0019808916888273903,42,0.08183299844185976,0.6031027010183538,0.11268522527104435,4.248282328240709,-0.01669666573997608,0.001899677187193655,0.9523809523809523,4
test,XGB,finbert,0.5,0.0001,2022-2023 rate-hike cycle,495,-0.011300720058777691,-0.0057691421129395515,0.19489444224342883,0.06783604207855297,-0.25378113043804384,5.246376025754503e-05,495,-0.011201777940844981,-0.005718491011084126,0.19489425098722052,0.06809732256638336,-0.2537811304380434,5.266578045956521e-05,1.0,1
test,XGB,finbert,0.5,0.0001,Other,42,0.08183299844185976,0.6031027010183538,0.11268522527104435,4.248282328240709,-0.01669666573997608,0.001899677187193655,42,0.08183299844185976,0.6031027010183538,0.11268522527104435,4.248282328240709,-0.01669666573997608,0.001899677187193655,1.0,0
test,XGB,general,0.5,0.0001,2022-2023 rate-hike cycle,495,0.004302260897836918,0.0021879339273966902,0.19471774854738805,0.10866079133503515,-0.24200481073450897,8.396105017514116e-05,495,-0.011201777940844981,-0.005718491011084126,0.19489425098722052,0.06809732256638336,-0.2537811304380434,5.266578045956521e-05,0.9959595959595959,5
test,XGB,general,0.5,0.0001,Other,42,0.08183299844185976,0.6031027010183538,0.11268522527104435,4.248282328240709,-0.01669666573997608,0.001899677187193655,42,0.08183299844185976,0.6031027010183538,0.11268522527104435,4.248282328240709,-0.01669666573997608,0.001899677187193655,1.0,0
test,XGB,vader,0.5,0.0001,2022-2023 rate-hike cycle,495,0.022104263677916958,0.01119268667370732,0.19390807729788895,0.15443406065214052,-0.23256190072335936,0.00011883338004111957,495,-0.011201777940844981,-0.005718491011084126,0.19489425098722052,0.06809732256638336,-0.2537811304380434,5.266578045956521e-05,0.9777777777777777,23
test,XGB,vader,0.5,0.0001,Other,42,0.07964706492282914,0.5837653993298535,0.11272415536039439,4.1389940530382665,-0.016696665739975858,0.0018514468598033096,42,0.08183299844185976,0.6031027010183538,0.11268522527104435,4.248282328240709,-0.01669666573997608,0.001899677187193655,0.9761904761904762,2
val,Logit,all,0.5,0.0001,2020 COVID shock,249,0.13539420964316062,0.13713255417318027,0.32579902825749346,0.5590383053533001,-0.2992861714597278,0.0007227545104873853,249,0.13591785993830996,0.13766332637634981,0.3460984411168588,0.5474461147385703,-0.33924959024260537,0.0007518660591527784,0.9317269076305221,29
val,Logit,all,0.5,0.0001,Other,250,0.27258093558118235,0.27503731849287005,0.1285329711891028,1.9556029911600008,-0.05213002124545618,0.0009974581861908398,250,0.2961398673206126,0.29883231102745444,0.1303731510411312,2.0718055247300646,-0.05212532648585422,0.0010718564071566775,0.948,22
val,Logit,dict,0.5,0.0001,2020 COVID shock,249,-0.0057322703718124535,-0.005801133160810101,0.2919602181259121,0.12682640872556455,-0.3499164772982044,0.00014693756331603933,249,0.13591785993830996,0.13766332637634981,0.3460984411168588,0.5474461147385703,-0.33924959024260537,0.0007518660591527784,0.927710843373494,21
