split,model_name,feature_set,threshold,transaction_cost,strategy_n_days,strategy_cumulative_return,strategy_annualized_return,strategy_annualized_volatility,strategy_sharpe,strategy_max_drawdown,strategy_avg_daily_return,buy_hold_n_days,buy_hold_cumulative_return,buy_hold_annualized_return,buy_hold_annualized_volatility,buy_hold_sharpe,buy_hold_max_drawdown,buy_hold_avg_daily_return,exposure,trades,win_rate_when_in_market
test,XGB,general,0.5,0.0001,537,0.08648732624904687,0.039693740356672835,0.1897435523083821,0.3001157935649843,-0.24200481073450897,0.00022597236815424286,537,0.06971454542423539,0.032130608500260394,0.18991600030729222,0.26156533813480304,-0.2537811304380434,0.00019712477316502475,0.9962756052141527,5,0.497196261682243
test,XGB,vader,0.5,0.0001,537,0.1035118683249725,0.04730729071601658,0.18896532945239497,0.3391889533163261,-0.23256190072335936,0.0002543450488493356,537,0.06971454542423539,0.032130608500260394,0.18991600030729222,0.26156533813480304,-0.2537811304380434,0.00019712477316502475,0.9776536312849162,25,0.49714285714285716
val,Logit,all,0.5,0.0001,499,0.4448810255611526,0.20425041846848568,0.24748296093267602,0.8760852182256862,-0.2992861714597278,0.0008603816025231842,499,0.4723084242675559,0.2157410353983027,0.26133140368991153,0.8796104359267037,-0.33924959024260537,0.0009121818647659542,0.9398797595190381,51,0.5628997867803838
val,Logit,dict,0.5,0.0001,499,0.2983880230028506,0.1409599738809839,0.22581798299302022,0.6975818422467163,-0.3499164772982044,0.0006251052563043996,499,0.4723084242675559,0.2157410353983027,0.26133140368991153,0.8796104359267037,-0.33924959024260537,0.0009121818647659542,0.9579158316633266,27,0.5627615062761506
val,Logit,finbert,0.5,0.0001,499,0.3191576281903923,0.15014086773901392,0.21097204169929462,0.7699788884947987,-0.344522053025365,0.000644619119726592,499,0.4723084242675559,0.2157410353983027,0.26133140368991153,0.8796104359267037,-0.33924959024260537,0.0009121818647659542,0.9679358717434869,13,0.567287784679089
val,Logit,general,0.5,0.0001,499,0.388604166688276,0.18033029200058048,0.25794690582762025,0.7731844671382709,-0.3767520644770449,0.0007914307179852949,499,0.4723084242675559,0.2157410353983027,0.26133140368991153,0.8796104359267037,-0.33924959024260537,0.0009121818647659542,0.9979959919839679,3,0.5682730923694779
val,Logit,vader,0.5,0.0001,499,0.41180424122147485,0.19024842173332535,0.2607960746799915,0.7995573113168993,-0.33924959024260537,0.0008274659058457749,499,0.4723084242675559,0.2157410353983027,0.26133140368991153,0.8796104359267037,-0.33924959024260537,0.0009121818647659542,0.9939879759519038,7,0.5665322580645161
val,XGB,all,0.5,0.0001,499,0.3949865909039978,0.18306693132930718,0.25551661714958224,0.7868875572340338,-0.3399706187426357,0.0007978684392918197,499,0.4723084242675559,0.2157410353983027,0.26133140368991153,0.8796104359267037,-0.33924959024260537,0.0009121818647659542,0.8917835671342685,89,0.5595505617977528
val,XGB,dict,0.5,0.0001,499,0.3783416561779487,0.17591687175677384,0.25976247895552385,0.755027403781344,-0.33924959024260526,0.0007782848812920442,499,0.4723084242675559,0.2157410353983027,0.26133140368991153,0.8796104359267037,-0.33924959024260537,0.0009121818647659542,0.9619238476953907,37,0.5625
val,XGB,finbert,0.5,0.0001,499,0.4721601466039882,0.21567920118588502,0.2613329538879698,0.8794119742645896,-0.33924959024260526,0.000911981463964351,499,0.4723084242675559,0.2157410353983027,0.26133140368991153,0.8796104359267037,-0.33924959024260537,0.0009121818647659542,1.0,1,0.5691382765531062
val,XGB,general,0.5,0.0001,499,0.47097549867724964,0.21518507286782196,0.26128670293941547,0.8779640460605892,-0.33924959024260526,0.0009103187733909542,499,0.4723084242675559,0.2157410353983027,0.26133140368991153,0.8796104359267037,-0.33924959024260537,0.0009121818647659542,0.9959919839679359,5,0.5694164989939637
val,XGB,vader,0.5,0.0001,499,0.38667657486050233,0.17950256057389136,0.2575832842683917,0.7710849755929494,-0.347802890596803,0.0007881690494573196,499,0.4723084242675559,0.2157410353983027,0.26133140368991153,0.8796104359267037,-0.33924959024260537,0.0009121818647659542,0.9539078156312625,43,0.5630252100840336
